game_id,set_num,serving_player,player_1_points,player_2_points,player_1_games,player_2_games,player_1_sets,player_2_sets,match_winning_player
1,1,1,0,0,0,0,0,0,2
1,1,1,15,0,0,0,0,0,2
1,1,1,15,15,0,0,0,0,2
1,1,1,30,15,0,0,0,0,2
1,1,1,40,15,0,0,0,0,2
1,1,1,40,30,0,0,0,0,2
1,1,1,40,40,0,0,0,0,2
1,1,1,40,AD,0,0,0,0,2
1,1,2,0,0,0,1,0,0,2
1,1,2,15,0,0,1,0,0,2
1,1,2,15,15,0,1,0,0,2
1,1,2,30,15,0,1,0,0,2
1,1,2,30,30,0,1,0,0,2
1,1,2,30,40,0,1,0,0,2
1,1,1,0,0,0,2,0,0,2
1,1,1,15,0,0,2,0,0,2
1,1,1,30,0,0,2,0,0,2
1,1,1,40,0,0,2,0,0,2
1,1,1,40,15,0,2,0,0,2
1,1,2,0,0,1,2,0,0,2
1,1,2,15,0,1,2,0,0,2
1,1,2,15,15,1,2,0,0,2
1,1,2,15,30,1,2,0,0,2
1,1,2,15,40,1,2,0,0,2
1,1,1,0,0,1,3,0,0,2
1,1,1,15,0,1,3,0,0,2
1,1,1,30,0,1,3,0,0,2
1,1,1,30,15,1,3,0,0,2
1,1,1,40,15,1,3,0,0,2
1,1,2,0,0,2,3,0,0,2
1,1,2,0,15,2,3,0,0,2
1,1,2,0,30,2,3,0,0,2
1,1,2,15,30,2,3,0,0,2
1,1,2,30,30,2,3,0,0,2
1,1,2,30,40,2,3,0,0,2
1,1,1,0,0,2,4,0,0,2
1,1,1,15,0,2,4,0,0,2
1,1,1,30,0,2,4,0,0,2
1,1,1,30,15,2,4,0,0,2
1,1,1,30,30,2,4,0,0,2
1,1,1,30,40,2,4,0,0,2
1,1,1,40,40,2,4,0,0,2
1,1,1,40,AD,2,4,0,0,2
1,1,1,40,40,2,4,0,0,2
1,1,1,40,AD,2,4,0,0,2
1,1,1,40,40,2,4,0,0,2
1,1,1,40,AD,2,4,0,0,2
1,1,1,40,40,2,4,0,0,2
1,1,1,40,AD,2,4,0,0,2
1,1,1,40,40,2,4,0,0,2
1,1,1,AD,40,2,4,0,0,2
1,1,2,0,0,3,4,0,0,2
1,1,2,0,15,3,4,0,0,2
1,1,2,15,15,3,4,0,0,2
1,1,2,30,15,3,4,0,0,2
1,1,2,30,30,3,4,0,0,2
1,1,2,40,30,3,4,0,0,2
1,1,2,40,40,3,4,0,0,2
1,1,2,40,AD,3,4,0,0,2
1,1,1,0,0,3,5,0,0,2
1,1,1,15,0,3,5,0,0,2
1,1,1,15,15,3,5,0,0,2
1,1,1,30,15,3,5,0,0,2
1,1,1,30,30,3,5,0,0,2
1,1,1,40,30,3,5,0,0,2
1,1,1,40,40,3,5,0,0,2
1,1,1,40,AD,3,5,0,0,2
1,2,2,0,0,0,0,0,1,2
1,2,2,0,15,0,0,0,1,2
1,2,2,0,30,0,0,0,1,2
1,2,2,15,30,0,0,0,1,2
1,2,2,30,30,0,0,0,1,2
1,2,2,30,40,0,0,0,1,2
1,2,1,0,0,0,1,0,1,2
1,2,1,0,15,0,1,0,1,2
1,2,1,0,30,0,1,0,1,2
1,2,1,0,40,0,1,0,1,2
1,2,2,0,0,0,2,0,1,2
1,2,2,15,0,0,2,0,1,2
1,2,2,15,15,0,2,0,1,2
1,2,2,30,15,0,2,0,1,2
1,2,2,30,30,0,2,0,1,2
1,2,2,40,30,0,2,0,1,2
1,2,2,40,40,0,2,0,1,2
1,2,2,AD,40,0,2,0,1,2
1,2,2,40,40,0,2,0,1,2
